Make,Model,Year,Kilometer,Color,Owner,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Price
Hyundai,Elite i20 Asta 1.2,2015,47752,White,First,3985.0,1734.0,1505.0,5.0,45.0,551000
Honda,WR-V VX MT Petrol,2018,27963,White,First,3999.0,1734.0,1601.0,5.0,40.0,819999
Hyundai,Venue SX 1.0 Turbo iMT,2020,24013,Blue,First,3995.0,1770.0,1605.0,5.0,45.0,990000
Hyundai,Creta 1.6 SX Plus AT,2016,66000,Black,First,4270.0,1780.0,1630.0,5.0,60.0,925000
Ford,Ecosport Titanium+ 1.0L EcoBoost,2015,28000,Silver,First,3999.0,1765.0,1708.0,5.0,52.0,535000
Hyundai,Santro GL (CNG),2009,72000,Silver,Second,3565.0,1525.0,1590.0,5.0,35.0,145000
Tata,Tiago Revotron XE [2016-2019],2018,27069,White,First,3746.0,1647.0,1535.0,5.0,35.0,409000
Tata,Tigor Revotorq XT,2018,43000,White,First,3992.0,1677.0,1537.0,5.0,35.0,490000
Toyota,Innova 2.4 G 8 STR [2016-2017],2019,71000,Bronze,First,4735.0,1830.0,1795.0,8.0,55.0,1900000
Mercedes-Benz,GLC 220 d Progressive,2017,45600,Black,Second,4656.0,1890.0,1639.0,5.0,66.0,3850000
Hyundai,Creta SX 1.6 CRDi (O),2018,60000,White,First,4270.0,1780.0,1665.0,5.0,55.0,1125000
Mercedes-Benz,M-Class ML 250 CDI,2014,105101,White,First,4804.0,2141.0,1796.0,5.0,70.0,2300000
Toyota,Corolla Altis VL AT Petrol,2016,45000,Black,First,4620.0,1775.0,1475.0,5.0,55.0,1095000
Audi,A4 2.0 TDI (177bhp) Premium Plus,2013,66000,White,First,4701.0,1826.0,1427.0,5.0,63.0,1575000
Mercedes-Benz,SLK-Class SLK 200 K,2010,34105,Grey,First,4082.0,1777.0,1297.0,2.0,70.0,2400000
Hyundai,Elite i20 Asta 1.2,2015,68397,Gold,First,3985.0,1734.0,1505.0,5.0,45.0,525000
Mahindra,Thar CRDe 4x4 AC,2015,65000,White,Second,3920.0,1726.0,1930.0,6.0,60.0,625000
Maruti Suzuki,Baleno Delta 1.2,2019,27469,Silver,First,3995.0,1745.0,1500.0,5.0,37.0,605000
Maruti Suzuki,Celerio VXi AMT,2016,41058,Silver,First,3600.0,1600.0,1560.0,5.0,35.0,412000
Maruti Suzuki,Ciaz VDi SHVS,2016,51330,Brown,First,4490.0,1730.0,1485.0,5.0,43.0,625000
Maruti Suzuki,Ciaz VXi,2015,45969,Silver,First,4490.0,1730.0,1485.0,5.0,43.0,511000
Hyundai,Creta SX Plus 1.6 AT CRDI,2017,66602,Grey,First,4270.0,1780.0,1630.0,5.0,60.0,1150000
Hyundai,Creta SX Plus 1.6  Petrol,2016,57983,White,First,4270.0,1780.0,1630.0,5.0,60.0,885000
Renault,Kwid 1.0 RXT AMT Opt,2019,11183,Silver,First,3679.0,1579.0,1478.0,5.0,28.0,470000
MG,Hector Sharp 2.0 Diesel [2019-2020],2019,46301,White,First,4655.0,1835.0,1760.0,5.0,60.0,1611000
Tata,Tiago Revotron XZA [2017-2019],2017,34867,Silver,Second,3746.0,1647.0,1535.0,5.0,35.0,475000
Toyota,Innova 2.5 GX BS IV 7 STR,2015,43634,Silver,First,4585.0,1765.0,1760.0,7.0,55.0,865000
BMW,X3 xDrive 20d Luxury Line [2018-2020],2018,9512,Blue,First,4657.0,1881.0,1678.0,5.0,67.0,3800000
Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,2020,11293,White,First,4395.0,1818.0,1640.0,5.0,60.0,2475000
Mahindra,Scorpio SLE BS-IV,2014,78000,White,Second,4430.0,1817.0,1975.0,8.0,60.0,400000
Honda,Brio S MT,2016,50374,White,First,3610.0,1680.0,1500.0,5.0,35.0,440000
BMW,3-Series 320i Luxury Line,2017,15900,White,First,4633.0,1811.0,1429.0,5.0,57.0,2800000
Honda,City V Petrol [2017-2019],2017,64000,White,First,4440.0,1695.0,1495.0,5.0,40.0,645000
Volkswagen,Polo Highline1.2L (D),2013,78000,Silver,First,3970.0,1682.0,1453.0,5.0,45.0,365000
Maruti Suzuki,Vitara Brezza ZXi Plus,2021,24000,Silver,First,3995.0,1790.0,1640.0,5.0,48.0,1044999
Maruti Suzuki,Eeco 7 STR [2019-2020],2019,40310,Grey,Second,3675.0,1475.0,1800.0,7.0,40.0,515000
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2015,69700,Blue,First,3765.0,1660.0,1520.0,5.0,43.0,455000
BMW,X3 xDrive20d,2012,74073,Black,First,4648.0,1881.0,1661.0,5.0,67.0,1800000
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2019,73000,White,First,4795.0,1855.0,1835.0,7.0,80.0,3499000
Honda,Civic 1.8S MT,2006,130000,Maroon,Third,4545.0,1750.0,1450.0,5.0,50.0,190000
Maruti Suzuki,Swift ZXi Plus AMT,2021,24000,Grey,First,3845.0,1735.0,1530.0,5.0,37.0,775000
Hyundai,Elite i20 Sportz 1.5 MT Diesel,2021,43000,White,First,3995.0,1775.0,1505.0,5.0,37.0,825000
Audi,A3 35 TDI Technology + Sunroof,2016,40500,White,First,4456.0,1796.0,1416.0,5.0,50.0,2250000
Honda,City V CVT Petrol [2017-2019],2017,49013,Grey,First,4440.0,1695.0,1495.0,5.0,40.0,865000
Ford,Figo Duratorq Diesel Titanium 1.4,2013,64983,Red,First,3795.0,1680.0,1427.0,5.0,45.0,299000
Honda,Jazz VX Petrol,2017,92270,Brown,First,3955.0,1694.0,1544.0,5.0,40.0,570000
Volkswagen,Polo Highline1.2L (P),2013,65000,White,First,3970.0,1682.0,1453.0,5.0,45.0,385000
Honda,Amaze 1.5 SX i-DTEC,2014,110000,Black,First,3990.0,1680.0,1505.0,5.0,35.0,350000
Toyota,Camry 2.5L AT,2017,47000,Brown,First,4825.0,1825.0,1480.0,5.0,70.0,2345000
Mahindra,Thar LX 4-STR Hard Top Petrol AT,2022,10000,Black,First,3985.0,1820.0,1844.0,4.0,57.0,1650000
Mercedes-Benz,C-Class 250 CDI Elegance,2011,51500,Black,Second,4596.0,1770.0,1447.0,5.0,66.0,1100000
Audi,Q3 35 TDI quattro Premium Plus,2018,35000,White,First,4385.0,1831.0,1608.0,5.0,64.0,2900000
Maruti Suzuki,Baleno Sigma 1.2,2017,61518,Red,First,3995.0,1745.0,1500.0,5.0,37.0,545000
BMW,X1 sDrive20d xLine,2018,34000,White,First,4454.0,2044.0,1545.0,5.0,63.0,2990000
Maruti Suzuki,Baleno Zeta 1.2,2017,36058,Silver,First,3995.0,1745.0,1500.0,5.0,37.0,615000
Hyundai,Creta 1.6 SX Plus AT,2016,88000,Silver,First,4270.0,1780.0,1630.0,5.0,60.0,890000
Volkswagen,Vento Comfortline Petrol,2015,98112,Brown,First,4384.0,1699.0,1466.0,5.0,55.0,430000
Mercedes-Benz,C-Class 220 BlueEfficiency,2013,58000,Silver,First,4596.0,1770.0,1447.0,5.0,66.0,1650000
Toyota,Camry Hybrid,2015,92355,Silver,First,4825.0,1825.0,1480.0,5.0,65.0,1599000
Maruti Suzuki,DZire VXi,2019,16652,White,First,3995.0,1735.0,1515.0,5.0,37.0,691000
Nissan,Terrano XV D THP 110 PS,2016,76584,White,First,4331.0,1822.0,1671.0,5.0,50.0,650000
Maruti Suzuki,Wagon R LXI CNG,2015,42500,Brown,First,3599.0,1495.0,1700.0,5.0,35.0,415000
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],2016,70000,Grey,First,3995.0,1790.0,1640.0,5.0,48.0,669000
Porsche,Cayenne Coupe Platinum Edition,2022,2766,Blue,First,4931.0,1983.0,1676.0,4.0,75.0,16200000
Mercedes-Benz,C-Class Cabriolet C 300,2017,56000,White,Second,4686.0,1810.0,1409.0,4.0,59.0,5100000
Hyundai,Elite i20 Magna 1.2,2015,68766,Silver,First,3985.0,1734.0,1505.0,5.0,45.0,525000
Hyundai,Verna 1.6 VTVT SX,2018,16339,Black,First,4375.0,1700.0,1475.0,5.0,43.0,750000
Honda,Amaze 1.2 SX i-VTEC,2016,63882,Bronze,First,3990.0,1680.0,1505.0,5.0,35.0,445000
Toyota,Corolla Altis 1.8 G,2012,28732,Silver,First,4540.0,1760.0,1480.0,5.0,55.0,493000
Hyundai,Elite i20 Sportz 1.2 (O),2017,51349,Red,First,3985.0,1734.0,1505.0,5.0,45.0,611000
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2014,61866,White,First,3765.0,1660.0,1520.0,5.0,43.0,475000
Hyundai,Creta SX Plus 1.6  Petrol,2017,29401,Grey,First,4270.0,1780.0,1630.0,5.0,60.0,925000
Audi,A6 2.0 TDI Premium,2012,98580,White,First,4915.0,1874.0,1455.0,5.0,65.0,1325000
BMW,X1 sDrive20d xLine,2021,8000,Black,First,4454.0,2044.0,1545.0,5.0,63.0,3900000
Mahindra,XUV300 W8 (O) 1.5 Diesel,2020,31348,White,First,3995.0,1821.0,1627.0,5.0,42.0,1299000
Maruti Suzuki,Swift ZDi Plus,2018,28851,Blue,First,3840.0,1735.0,1530.0,5.0,37.0,580000
Mahindra,Thar LX 4-STR Hard Top Petrol MT,2021,8519,Blue,First,3985.0,1820.0,1844.0,4.0,57.0,1575000
Honda,City 1.5 S MT,2011,78000,Bronze,First,4420.0,1695.0,1480.0,5.0,42.0,375000
Mercedes-Benz,E-Class E 250 CDI Avantgarde,2015,48000,White,First,4879.0,1854.0,1474.0,5.0,80.0,2250000
Toyota,Fortuner 3.0 4x2 AT,2014,143000,White,Second,4705.0,1840.0,1850.0,7.0,80.0,1400000
Tata,Zest XM 75 PS Diesel,2017,39000,Silver,First,3995.0,1706.0,1570.0,5.0,44.0,425000
Skoda,Rapid Ambition 1.6 MPI AT Plus,2014,24000,Beige,Second,4386.0,1699.0,1466.0,5.0,55.0,425000
Maruti Suzuki,Alto 800 Lxi,2015,62000,Maroon,Second,3395.0,1490.0,1475.0,5.0,35.0,250000
Maruti Suzuki,Ertiga VDi,2012,78000,White,Second,4265.0,1695.0,1685.0,7.0,45.0,425000
Hyundai,Santro GL LPG,2009,48500,Grey,Fourth,3565.0,1525.0,1590.0,5.0,35.0,120000
Ford,Figo Duratorq Diesel ZXI 1.4,2014,82000,White,Second,3795.0,1680.0,1427.0,5.0,45.0,235000
Audi,A3 35 TDI Technology + Sunroof,2020,40910,White,First,4456.0,1796.0,1416.0,5.0,50.0,3050000
Tata,Harrier XZ Plus,2020,10290,Red,First,4598.0,1894.0,1706.0,5.0,50.0,2145000
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,2021,10530,Red,First,3995.0,1775.0,1505.0,5.0,37.0,1245000
Hyundai,Elite i20 Asta 1.2,2015,61900,Silver,First,3985.0,1734.0,1505.0,5.0,45.0,549000
Volkswagen,Polo Highline1.2L (D),2013,78000,White,Second,3970.0,1682.0,1453.0,5.0,45.0,484999
Maruti Suzuki,Swift DZire VXI,2014,57402,Grey,First,3995.0,1695.0,1555.0,5.0,42.0,415000
Hyundai,Santro GL (CNG),2013,57000,White,First,3565.0,1525.0,1590.0,5.0,35.0,200000
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],2015,87500,Grey,First,3765.0,1660.0,1520.0,5.0,43.0,375000
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],2022,18000,Black,First,4300.0,1790.0,1635.0,5.0,50.0,1875000
Audi,Q2 Premium Plus I 40 TFSI quattro,2020,10700,White,First,4318.0,1805.0,1548.0,5.0,55.0,2950000
Audi,Q7 45 TDI Premium Plus,2018,78000,Black,First,5052.0,1968.0,1740.0,7.0,75.0,4900000
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,2020,16282,White,First,3995.0,1775.0,1505.0,5.0,37.0,1050000
Hyundai,Verna Fluidic 1.6 CRDi SX,2013,66000,Grey,Third,4370.0,1700.0,1475.0,5.0,43.0,470000
Maruti Suzuki,Wagon R VXI,2017,72019,Silver,Second,3599.0,1495.0,1700.0,5.0,35.0,345000
Mahindra,Scorpio 2.6 Turbo 7 Str,2007,92170,White,Second,4495.0,1817.0,1975.0,7.0,60.0,550000
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2018,55221,White,First,3765.0,1660.0,1520.0,5.0,43.0,484999
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2018,25000,White,First,4795.0,1855.0,1835.0,7.0,80.0,3350000
Audi,Q5 45 TFSI Premium Plus,2022,1,Blue,UnRegistered Car,4663.0,1898.0,1659.0,5.0,70.0,5651000
Renault,Duster RXS 1.5 Petrol MT,2020,23500,White,First,4360.0,1822.0,1695.0,5.0,50.0,890000
Maruti Suzuki,Swift DZire VXI,2012,68000,White,Second,3995.0,1695.0,1555.0,5.0,42.0,325000
Hyundai,Creta SX 1.6 AT Petrol,2019,29096,White,First,4270.0,1780.0,1665.0,5.0,55.0,1390000
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2016,61223,White,First,3765.0,1660.0,1520.0,5.0,43.0,459999
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],2017,86000,White,First,4395.0,1818.0,1640.0,5.0,60.0,1075000
Hyundai,Verna EX 1.6 CRDi [2017-2018],2013,87000,White,First,4440.0,1729.0,1475.0,5.0,45.0,484999
Hyundai,i20 Magna 1.2,2013,79287,White,First,3995.0,1710.0,1505.0,5.0,45.0,385000
Audi,A6 35 TDI Matrix,2018,48945,Black,First,4933.0,1874.0,1455.0,5.0,75.0,3900000
Mahindra,Marazzo M2 8 STR,2019,17000,Green,First,4585.0,1866.0,1774.0,8.0,45.0,1050000
Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],2019,55000,Silver,First,4315.0,1800.0,1645.0,5.0,50.0,1575000
Maruti Suzuki,Baleno Alpha 1.2,2016,38779,Blue,First,3995.0,1745.0,1500.0,5.0,37.0,655000
Mercedes-Benz,E-Class E 220d Expression [2019-2019],2019,72000,White,First,5063.0,1860.0,1494.0,5.0,80.0,4500000
Maruti Suzuki,Ertiga ZDI + SHVS,2016,67000,White,First,4296.0,1695.0,1685.0,7.0,45.0,865000
Hyundai,Verna Fluidic 1.6 VTVT SX,2017,67000,White,First,4370.0,1700.0,1475.0,5.0,43.0,699000
Hyundai,Verna Fluidic 1.6 CRDi SX,2012,70000,White,Second,4370.0,1700.0,1475.0,5.0,43.0,425000
Land Rover,Discovery Sport S,2020,6000,White,First,4600.0,2069.0,1724.0,7.0,70.0,6500000
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2017,46000,White,First,4795.0,1855.0,1835.0,7.0,80.0,2900000
Mercedes-Benz,GLE 250 d,2017,34000,Silver,First,4819.0,2141.0,1796.0,5.0,93.0,4550000
Hyundai,Xcent S 1.2 (O),2015,23103,White,First,3995.0,1660.0,1520.0,5.0,43.0,490000
Mercedes-Benz,S-Class Maybach S 500,2016,27000,Blue,First,5453.0,1899.0,1498.0,4.0,70.0,11500000
Hyundai,Creta SX 1.6 AT Petrol,2019,9576,White,First,4270.0,1780.0,1665.0,5.0,55.0,1475000
MG,Hector Sharp 1.5 DCT Petrol [2019-2020],2020,27000,Silver,First,4655.0,1835.0,1760.0,5.0,60.0,1729000
MG,Astor Sharp 1.5 CVT,2021,1942,Red,First,4323.0,1809.0,1650.0,5.0,48.0,1764999
Honda,CR-V 2.4 AT,2006,119300,Black,Third,4630.0,1780.0,1710.0,5.0,58.0,250000
Maruti Suzuki,Alto 800 Lxi,2016,55000,White,First,3395.0,1490.0,1475.0,5.0,35.0,245000
Renault,Duster 85 PS RxL,2015,98000,White,Second,4315.0,1822.0,1695.0,5.0,50.0,490000
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2017,61400,Grey,First,3765.0,1660.0,1520.0,5.0,43.0,550000
Honda,City V,2016,87693,Red,First,4440.0,1695.0,1495.0,5.0,40.0,675000
Mercedes-Benz,C-Class C 200 Avantgarde,2015,31000,Blue,First,4686.0,1810.0,1442.0,5.0,66.0,2225000
Hyundai,Elite i20 Asta 1.4 (O) CRDi,2016,75210,White,First,3985.0,1734.0,1505.0,5.0,40.0,560000
Skoda,Fabia Elegance 1.6 MPI,2012,69000,Silver,First,4000.0,1642.0,1522.0,5.0,45.0,225000
Skoda,Rapid 1.5 TDI CR Ambition Plus AT,2014,88000,Black,Second,4386.0,1699.0,1466.0,5.0,55.0,499000
Kia,Sonet GTX Plus 1.0 DCT [2020-2021],2020,15000,Gold,First,3995.0,1790.0,1647.0,5.0,45.0,1055000
Mahindra,XUV500 W11 AT,2020,45350,White,First,4585.0,1890.0,1785.0,7.0,70.0,2048999
BMW,3-Series 320d Luxury Line,2018,68189,Brown,First,4633.0,1811.0,1429.0,5.0,57.0,2775000
Mercedes-Benz,GLA 200 CDI Sport,2015,75000,White,First,4417.0,1804.0,1494.0,5.0,50.0,1650000
Maruti Suzuki,Wagon R VXi,2013,45000,White,First,3539.0,1495.0,1700.0,5.0,35.0,350000
Audi,A6 35 TDI Premium,2014,33000,Red,Second,4915.0,1874.0,1455.0,5.0,65.0,1450000
Mahindra,Scorpio VLX 2WD BS-IV,2014,83000,White,Second,4430.0,1817.0,1975.0,8.0,60.0,600000
Toyota,Fortuner 3.0 4x4 MT,2014,211000,White,First,4705.0,1840.0,1850.0,7.0,80.0,1675000
Hyundai,Elite i20 Magna 1.2,2015,67000,White,First,3985.0,1734.0,1505.0,5.0,45.0,575000
Ford,Ecosport Titanium+ 1.5L TDCi,2017,75000,Grey,First,3999.0,1765.0,1708.0,5.0,52.0,699000
Audi,Q7 3.0 TDI quattro Premium Plus,2014,48600,Blue,Second,5089.0,1983.0,1737.0,6.0,100.0,2450000
Mercedes-Benz,C-Class C 250 d,2016,48000,Black,First,4686.0,1810.0,1442.0,5.0,66.0,2775000
Maruti Suzuki,S-Presso VXi,2020,5790,Silver,First,3565.0,1520.0,1564.0,5.0,27.0,430000
Mahindra,Scorpio S5 2WD 7 STR,2018,32000,White,First,4456.0,1820.0,1995.0,7.0,60.0,1165000
MG,Hector Sharp 2.0 Diesel Turbo MT,2020,65433,Black,First,4655.0,1835.0,1760.0,5.0,60.0,1780000
Maruti Suzuki,Swift VDi BS-IV,2011,87230,Silver,First,3760.0,1690.0,1530.0,5.0,43.0,295000
Maruti Suzuki,Swift ZDi,2017,38258,White,Second,3840.0,1735.0,1530.0,5.0,37.0,495000
Honda,City VX (O) MT,2019,56881,Silver,First,4440.0,1695.0,1495.0,5.0,40.0,975000
Toyota,Innova 2.5 G4 7 STR,2013,76000,Grey,Second,4555.0,1770.0,1755.0,7.0,55.0,645000
Renault,Duster 110 PS RxL Diesel,2014,72000,White,Second,4315.0,1822.0,1695.0,5.0,50.0,425000
Audi,Q3 2.0 TDI quattro Premium,2012,72000,White,UnRegistered Car,4385.0,1831.0,1608.0,5.0,64.0,1350000
Mercedes-Benz,M-Class 350 CDI,2014,60514,Silver,First,4781.0,1911.0,1774.0,5.0,95.0,3200000
Volvo,V40 Cross Country D3,2013,71141,Silver,First,4370.0,1783.0,1458.0,5.0,60.0,1250000
BMW,5-Series 530d M Sport [2013-2017],2018,40937,White,First,4899.0,2094.0,1464.0,5.0,65.0,5600000
Maruti Suzuki,Swift DZire VDI,2013,37000,Gold,First,3995.0,1695.0,1555.0,5.0,42.0,560000
Mahindra,Scorpio S5 2WD 7 STR,2019,46000,White,First,4456.0,1820.0,1995.0,7.0,60.0,1221000
Honda,City 1.5 S AT,2009,70200,Grey,Second,4420.0,1695.0,1480.0,5.0,42.0,295000
Mercedes-Benz,C-Class 200 CGI,2012,64800,Silver,First,4596.0,1770.0,1447.0,5.0,66.0,1300000
Hyundai,Creta 1.6 SX Plus AT,2016,73000,Silver,First,4270.0,1780.0,1630.0,5.0,60.0,950000
Mercedes-Benz,E-Class E350 CDI Avantgarde,2012,72000,White,Second,4868.0,1854.0,1471.0,5.0,80.0,1350000
Mercedes-Benz,M-Class ML 350 CDI,2015,76345,White,First,4804.0,2141.0,1796.0,5.0,70.0,2682000
Maruti Suzuki,Alto 800 Lxi,2017,40564,Silver,First,3395.0,1490.0,1475.0,5.0,35.0,286000
Hyundai,i20 Magna 1.4 CRDI,2013,98500,Silver,First,3995.0,1710.0,1505.0,5.0,45.0,340000
Skoda,Rapid Style AT,2020,46807,Red,First,4413.0,1699.0,1466.0,5.0,55.0,1125000
Tata,Nexon XMA Petrol,2018,81000,Red,First,3994.0,1811.0,1607.0,5.0,44.0,580000
Maruti Suzuki,Swift DZire VXI,2015,13716,Silver,First,3995.0,1695.0,1555.0,5.0,42.0,495000
Maruti Suzuki,Swift DZire ZDI,2014,89000,White,First,3995.0,1695.0,1555.0,5.0,42.0,550000
Kia,Sonet GTX Plus 1.5 AT [2020-2021],2021,13000,Red,First,3995.0,1790.0,1647.0,5.0,45.0,1485000
Skoda,Rapid Monte Carlo 1.6 MPI MT,2018,38000,Red,First,4413.0,1699.0,1466.0,5.0,55.0,885000
Audi,RS5 4.2 Coupe,2012,25500,Blue,Second,4649.0,1860.0,1366.0,5.0,64.0,3650000
Hyundai,Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,2020,17000,Silver,First,3805.0,1680.0,1520.0,5.0,37.0,715000
Mercedes-Benz,R-Class R350 4MATIC,2012,44724,White,First,5157.0,2183.0,1659.0,7.0,80.0,2485000
Toyota,Innova 2.4 G 7 STR [2016-2017],2020,24549,Grey,Second,4735.0,1830.0,1795.0,7.0,55.0,2250000
Hyundai,Creta SX Plus 1.6 AT CRDI,2017,97000,Silver,First,4270.0,1780.0,1630.0,5.0,60.0,1050000
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2018,7800,White,First,4795.0,1855.0,1835.0,7.0,80.0,3600000
Honda,City 1.5 S MT,2010,78000,White,First,4420.0,1695.0,1480.0,5.0,42.0,295000
Renault,Kwid RXT Opt,2019,55000,Silver,First,3679.0,1579.0,1478.0,5.0,28.0,375000
Audi,A6 2.0 TFSi Technology Pack,2021,20000,White,UnRegistered Car,4915.0,1874.0,1455.0,5.0,75.0,7200000
Tata,Safari XZA Plus 6S Adventure New,2021,13594,Blue,First,4661.0,1894.0,1786.0,6.0,50.0,2395000
Audi,A6 2.0 TDI Premium,2014,75000,White,First,4915.0,1874.0,1455.0,5.0,65.0,1775000
Maruti Suzuki,Ritz Vdi BS-IV,2011,65000,Silver,First,3715.0,1680.0,1620.0,5.0,43.0,275000
Honda,Brio EX MT,2014,43037,Silver,First,3610.0,1680.0,1500.0,5.0,35.0,325000
Maruti Suzuki,Swift ZDi,2013,26000,White,First,3850.0,1695.0,1530.0,5.0,42.0,425000
Mahindra,Scorpio S9 2WD 7 STR,2020,78000,White,First,4456.0,1820.0,1995.0,7.0,60.0,1475000
Toyota,Innova 2.8 GX AT 7 STR [2016-2020],2018,115000,Beige,First,4735.0,1830.0,1795.0,7.0,55.0,1580000
Honda,Amaze VX CVT 1.2 Petrol,2021,8700,Brown,First,3995.0,1695.0,1501.0,5.0,35.0,869000
Mercedes-Benz,GLE 250 d,2019,31000,Grey,First,4819.0,2141.0,1796.0,5.0,93.0,5850000
Jeep,Compass Longitude Plus 2.0 Diesel 4x4 AT,2020,41736,Grey,First,4395.0,1818.0,1640.0,5.0,60.0,1900000
Maserati,Levante Diesel,2017,40000,White,Second,5005.0,1981.0,1693.0,5.0,80.0,9000000
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2020,55000,Black,First,4795.0,1855.0,1835.0,7.0,80.0,3550000
Porsche,Cayenne Turbo,2014,160000,Blue,First,4846.0,1939.0,1702.0,5.0,100.0,3500000
Toyota,Innova GX 2.4 AT 7 STR,2022,11000,Black,First,4735.0,1830.0,1795.0,7.0,55.0,2425000
Toyota,Fortuner 3.0 MT,2011,117000,White,Second,4695.0,1840.0,1850.0,7.0,80.0,750000
Audi,Q7 35 TDI Premium + Sunroof,2014,95000,White,First,5089.0,1983.0,1737.0,7.0,100.0,2200000
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],2019,76000,White,First,3655.0,1620.0,1675.0,5.0,60.0,520000
Maruti Suzuki,Alto VXi (O),2018,18000,Silver,First,3545.0,1490.0,1475.0,5.0,35.0,390000
Maruti Suzuki,Ciaz VXi (O),2015,38000,Gold,First,4490.0,1730.0,1485.0,5.0,43.0,540000
